1,MATH,1071,85,2.66,39%,28%,4-6,2.83,2.94
2,MATH,2001,27,2.34,11%,37%,4-6,5.06,5.50
3,MATH,2300,32,2.11,13%,23%,10-12,3.89,3.82
4,MATH,3130,38,2.96,35%,32%,7-9,4.74,4.79
5,MATH,4430,26,2.28,16%,28%,10-12,3.00,2.69
6,SOCY,1016,96,2.79,9%,70%,4-6,3.48,3.63
7,SOCY,3042,27,2.83,26%,41%,4-6,4.64,4.64
8,SOCY,2034,65,2.92,23%,53%,4-6,5.19,5.50
9,SOCY,3011,20,2.79,40%,35%,7-9,4.72,5.39
10,SOCY,3041,41,3.17,34%,58%,7-9,5.21,5.68
11,CSCI,1300,148,2.42,31%,27%,7-9,3.80,3.75
12,CSCI,3155,73,3.36,57%,33%,7-9,2.55,2.45
13,CSCI,3308,122,3.28,45%,45%,7-9,3.12,3.12
14,CSCI,4229,78,3.75,87%,8%,10-12,5.21,5.46
15,CSCI,4273,71,3.15,35%,44%,10-12,4.84,4.96
